,Close,High,Low,Open,close_predicted,open_predicted
0,959.8,961.5,945.2,949.0,964.9524948457439,962.2407634563905
0,952.6,957.45,916.4,935.1,958.0344769626785,958.1023793841326
0,952.65,958.55,942.0,944.9,961.355285259104,957.8793708827587
0,950.35,958.75,944.3,953.0,959.7808265370703,954.6994495046097
0,1006.4,1015.0,1003.5,1014.0,1008.1537991844916,1006.8746120628583
0,1041.7,1043.9,1018.6,1020.0,1036.7084497518103,1043.161240820968
0,1011.75,1045.9,1009.0,1042.05,1023.7873008644958,1023.7233372205845
0,1014.5,1029.55,1010.6,1014.9,1020.0546667365418,1021.4045868800221
0,1016.0,1036.9,1012.0,1027.0,1022.8963897758417,1023.868786099354
0,1020.4,1031.7,1015.65,1030.0,1021.2024728766293,1021.4105518186653
0,1047.05,1051.75,1042.7,1042.7,1042.9664219888655,1046.2091433212504
0,1035.05,1042.2,1025.3,1040.0,1031.4328037740738,1033.3480329847143
0,1036.35,1054.45,1031.2,1035.9,1040.7192374229046,1044.573850814218
0,1040.3,1045.5,1033.0,1037.0,1036.7167899002775,1039.6130783712833
0,1037.3,1069.2,1035.8,1069.2,1044.5495473031465,1045.9828552007261
0,1041.15,1052.0,1035.0,1041.4,1040.336031923503,1043.5541171662558
0,1038.95,1047.5,1029.3,1039.0,1036.5158377826865,1039.5785788097814
0,968.95,976.8,967.0,973.0,976.0387125417087,971.8681635196716
0,975.95,982.5,971.1,977.0,981.3768514684666,978.2692014612697
0,930.0,940.7,925.65,937.35,942.9501521231518,935.7259439684718
0,940.45,944.0,928.05,928.05,949.9222133210606,945.8454486764612
0,946.85,952.4,944.1,950.0,955.5541379393542,949.3868510000192
0,974.7,976.9,948.75,949.05,978.8353542038199,980.4379677612836
0,957.85,973.0,956.5,969.0,969.5451140863756,964.5286111215617
0,956.25,957.15,945.1,954.5,960.4012352176405,955.7860296463894
0,954.8,963.0,952.55,961.0,963.5466769796283,957.9912289832391
0,971.15,976.45,956.2,960.0,976.9032988165432,975.7430468560766
0,976.7,984.4,968.3,974.0,982.7537531072339,980.6957840015388
0,976.25,985.4,969.3,980.95,982.1566316072752,979.1834509893162
0,974.9,978.65,970.1,977.0,978.6488691218333,974.9097330751139
0,980.5,985.9,977.1,985.0,984.2871750593681,980.8150251087444
0,980.45,982.0,970.0,979.95,981.6602970198577,978.9449656282051
0,951.45,964.9,933.4,964.9,959.7305904640338,955.2386453165544
0,955.65,958.4,940.5,940.5,962.6434640887453,960.344310831615
0,966.9,968.95,960.0,962.0,971.5922468916858,968.0334164842111
0,986.7,993.6,975.5,975.5,991.9730976858343,991.9968832412605
0,992.5,994.95,985.5,991.0,993.4018866854551,991.6259379117004
0,1003.4,1005.0,991.0,995.25,1002.5997875311431,1002.9865427082375
0,1012.2,1021.0,1003.5,1009.0,1014.2095721231639,1015.3858490040255
0,1006.25,1038.75,1001.75,1028.0,1019.2606854963221,1019.7591842554007
0,1006.35,1025.0,1005.0,1024.0,1012.4935123452667,1011.2247369074602
0,1014.85,1017.8,1005.1,1006.0,1013.894851381644,1015.2738426527266
0,1022.75,1023.75,1007.35,1014.0,1018.6136237501064,1020.9042223639516
0,1014.9,1024.9,1012.0,1024.0,1016.0782038751345,1015.523134605315
0,1012.8,1020.0,1006.3,1008.0,1014.4515612344597,1015.4411973065927
0,993.95,1014.4,991.5,1014.4,1002.1164768614727,999.8125818725158
0,1029.25,1034.0,1018.65,1019.9,1027.3753740699499,1030.3695515878871
0,1030.7,1034.5,1021.0,1027.0,1027.2331046194768,1029.4022448004139
0,1024.9,1044.8,1015.5,1036.25,1029.0376126591573,1031.08672120846
0,1020.5,1021.95,1011.0,1011.7,1017.9476475921628,1019.5545277415262
0,1027.9,1030.8,1014.6,1017.9,1024.7723811803621,1027.7284368730066
0,1044.55,1049.9,1030.0,1035.0,1040.3481430340635,1045.1189531817604
0,1046.5,1056.0,1029.15,1030.4,1045.146241528633,1051.7870104236504
0,1075.55,1093.85,1059.1,1067.0,1074.3092114662472,1083.60748257372
0,1088.95,1095.8,1079.0,1083.0,1079.8707345739808,1087.686235410055
0,1102.8,1109.45,1089.0,1089.0,1092.4844692755232,1102.8092806731534
0,1107.2,1129.55,1100.25,1103.4,1104.9111359227836,1115.9334632133287
0,1110.5,1125.95,1106.6,1117.0,1102.4336707928446,1111.1261908278198
0,1072.45,1110.75,1067.4,1095.0,1079.8122517775762,1086.6601262108866
0,1096.35,1108.3,1092.0,1093.05,1089.7677367616598,1098.0643418106743
0,1089.4,1106.5,1085.8,1104.0,1083.7318908524255,1089.8237313272612
0,1110.8,1126.25,1092.0,1092.0,1104.6017790491414,1117.9884226501445
0,1109.0,1123.05,1106.5,1114.0,1100.8175699706603,1109.2398075855476
0,1096.35,1122.0,1094.0,1114.0,1094.4441767416824,1101.8432178286057
0,1057.15,1089.05,1052.0,1089.0,1061.1399645327817,1064.597634745714
0,1077.65,1082.0,1061.65,1063.0,1069.1069575496717,1077.3066736414034
0,1060.65,1080.8,1058.75,1080.0,1060.0501525709776,1063.395209274426
0,1081.1,1082.75,1062.05,1066.0,1070.0715017934842,1078.521711949013
0,1087.35,1094.7,1081.4,1084.45,1078.9247300012207,1085.9036777281276
0,1087.55,1098.0,1084.05,1093.95,1079.6944508832519,1085.71166793753
0,1064.2,1097.0,1058.4,1097.0,1067.4998885997265,1071.6204812644469
0,1063.3,1074.0,1060.65,1070.0,1058.9119215454587,1062.8077628505516
0,1060.85,1065.25,1054.2,1065.0,1052.859452699011,1056.3506402369726
0,1054.05,1059.45,1052.1,1056.05,1048.7361936961197,1051.6247440047491
0,1048.7,1053.9,1043.4,1051.1,1043.3359994492878,1046.0163417124172
0,1054.95,1058.0,1043.8,1050.0,1047.7872808335142,1052.1848516940456
0,1051.0,1055.95,1047.4,1051.3,1045.8453815420683,1048.7887024739468
0,1023.75,1042.85,1021.0,1041.0,1027.6714719989839,1028.115106417871
0,1023.95,1034.75,1020.6,1023.85,1025.9383325007998,1027.4802555156639
0,1005.55,1026.9,1000.0,1020.25,1013.1825731390998,1013.0168237596037
0,1001.15,1016.55,999.05,1014.0,1006.7991116582169,1005.3110371154202
0,1003.5,1005.7,998.3,1005.7,1002.4470201258101,1000.9127789794362
0,1004.6,1009.0,930.0,950.0,1002.8079217288498,1015.6142183087089
0,1010.4,1028.95,1007.0,1018.6,1017.2614166384367,1017.7251721178854
0,1001.75,1017.5,995.1,997.85,1009.6991498450147,1010.8932219668635
0,985.4,1000.0,979.55,996.5,992.3423871639856,989.9993848538619
0,986.55,996.8,980.7,995.0,991.2572999980272,988.7225602871092
0,987.35,1005.55,982.2,1005.55,995.0101925902862,992.3742218929036
0,1028.95,1031.85,1020.3,1022.0,1025.9420518787326,1028.1497047996222
0,1027.2,1041.7,1020.5,1020.5,1031.5141213987067,1035.0294630267908
0,1059.5,1064.45,1038.2,1039.8,1053.7066173921162,1061.6230094841385
0,1057.15,1062.0,1052.0,1052.0,1051.8137858520656,1056.1059381934328
0,1057.9,1061.0,1053.15,1054.7,1051.162843858438,1054.9774387971274
0,1057.3,1068.95,1052.0,1052.0,1055.9300385464462,1061.249586764769
0,1047.45,1066.0,1044.65,1054.35,1049.7117007136396,1053.3973057770627
0,1089.4,1097.0,1081.1,1089.85,1079.8542687872919,1086.8380280839265
0,1067.15,1093.0,1064.3,1092.9,1067.7335853947384,1071.7189034368653
0,1077.4,1079.9,1068.75,1071.0,1067.611061252715,1073.7613567872017
0,1074.95,1085.0,1073.1,1074.2,1070.0817462009732,1075.7398134201903
0,1077.7,1086.0,1071.0,1077.0,1070.5993249972541,1076.6948091337485
0,1089.85,1094.4,1080.0,1080.0,1080.0081193938963,1088.0571410515531
0,1086.05,1095.7,1084.0,1095.0,1077.7240523343878,1083.0341887787981
0,1083.3,1090.35,1079.8,1087.0,1074.4938119885824,1080.0090630315444
0,1090.4,1097.5,1084.55,1084.55,1081.9598127629151,1089.5270851190726
0,1076.25,1093.95,1073.95,1089.95,1073.065794739396,1078.1298702970325
0,1041.25,1068.0,1038.5,1065.0,1046.1788119831324,1048.364362518911
0,1032.55,1048.0,1028.75,1042.6,1034.2509668410341,1035.9299544104338
0,1033.7,1045.3,1031.0,1035.15,1034.6973447007647,1036.9130759168333
0,1025.8,1037.45,1023.9,1033.95,1026.8334178854627,1027.4579626828026
0,1015.9,1031.0,1012.8,1021.8,1020.4644662540933,1021.1582415295544
0,1027.3,1028.8,1017.0,1017.0,1023.9991869279128,1026.4534324032402
0,1017.3,1032.7,1016.15,1032.0,1020.6358214982502,1020.1766571284498
0,1025.1,1028.9,1019.0,1020.25,1023.1989091511807,1024.6994257869187
0,1044.8,1046.45,1024.8,1024.95,1039.2787394765428,1045.3783573640153
0,1045.2,1053.8,1040.3,1046.85,1042.4955778490885,1045.430106676602
0,1049.65,1050.9,1035.2,1046.1,1041.324817630742,1045.1546712215595
0,1043.5,1050.8,1038.25,1050.0,1039.3442390744376,1041.3609156738353
